customer_id,age,tenure_months,city,plan_type,monthly_charge,avg_data_usage_gb
108,29,16,Mumbai,Platinum,918,25.94
109,28,36,Chennai,Platinum,851,27.33
110,32,6,Bangalore,Platinum,966,44.14
111,54,19,Hyderabad,Gold,419,27.17
112,53,31,Mumbai,Gold,402,35.57
113,43,2,Bangalore,Gold,812,41.42
114,44,18,Mumbai,Silver,419,45.85
115,57,42,Hyderabad,Silver,1177,14.82
116,55,28,Mumbai,Gold,844,48.89
117,64,4,Chennai,Platinum,626,48.44
118,60,1,Mumbai,Platinum,745,18.38
119,42,47,Hyderabad,Platinum,1129,32.62
120,47,42,Mumbai,Silver,1076,7.11
121,55,50,Bangalore,Gold,739,12.55
122,21,16,Bangalore,Gold,450,31.27
123,55,45,Delhi,Silver,772,34.25
124,57,58,Delhi,Silver,1081,29.06
125,34,47,Chennai,Silver,752,36.71
126,23,2,Bangalore,Platinum,429,40.68
127,21,52,Delhi,Platinum,877,12.58
128,25,36,Mumbai,Platinum,643,34.68
129,46,1,Chennai,Gold,956,30.32
130,34,39,Hyderabad,Silver,1126,10.29
131,59,23,Delhi,Platinum,807,15.29
132,47,26,Delhi,Silver,814,23.89
133,29,11,Bangalore,Gold,422,43.87
134,35,58,Chennai,Silver,452,14.77
135,35,42,Bangalore,Platinum,441,13.23
136,46,1,Bangalore,Silver,1075,37.44
137,62,11,Chennai,Silver,1015,48.91
138,33,24,Mumbai,Platinum,561,25.13
139,52,10,Delhi,Silver,553,20.76
140,59,14,Bangalore,Platinum,726,16.43
141,52,14,Delhi,Silver,808,7.24
142,24,7,Chennai,Platinum,914,13.03
143,50,23,Mumbai,Gold,772,9.2
144,57,43,Hyderabad,Gold,954,27.23
145,43,22,Mumbai,Platinum,865,49.02
146,59,36,Chennai,Gold,965,40.43
147,35,27,Mumbai,Gold,893,32.08
148,63,56,Hyderabad,Silver,924,26.9
149,49,2,Bangalore,Silver,849,32.77
150,56,39,Mumbai,Platinum,1023,21.92
151,33,51,Chennai,Silver,455,13.03
152,52,46,Mumbai,Silver,503,31.54
153,27,19,Hyderabad,Gold,574,28.76
154,42,7,Chennai,Gold,721,47.5
155,48,12,Mumbai,Silver,467,34.24
156,22,3,Chennai,Platinum,924,39.8
157,62,47,Hyderabad,Silver,1197,9.17
158,26,5,Bangalore,Platinum,891,39.24
159,48,8,Hyderabad,Platinum,731,49.23
160,48,14,Bangalore,Silver,1072,34.59
161,64,36,Delhi,Platinum,1077,38.39
162,64,7,Hyderabad,Gold,698,49.08
163,40,7,Bangalore,Platinum,1170,22.61
164,50,50,Delhi,Gold,442,42.09
165,31,46,Delhi,Silver,598,22.99
166,48,32,Delhi,Platinum,1043,24.17
167,45,8,Chennai,Platinum,491,34.62
168,59,58,Hyderabad,Silver,889,16.54
169,53,12,Hyderabad,Platinum,943,49.68
170,21,10,Hyderabad,Platinum,1168,19.82
171,47,14,Hyderabad,Silver,435,10.53
172,33,9,Chennai,Silver,681,19.51
173,61,38,Hyderabad,Gold,604,43.52
174,23,30,Bangalore,Platinum,1061,19.13
175,59,5,Delhi,Silver,1050,32.51
176,26,1,Chennai,Gold,1192,47.09
177,28,1,Chennai,Gold,572,16.7
178,47,57,Hyderabad,Silver,1075,10.91
179,29,20,Delhi,Gold,1013,9.36
180,57,49,Bangalore,Silver,689,24.82
181,53,11,Delhi,Gold,817,9.69
182,62,26,Mumbai,Gold,687,25.42
183,64,44,Delhi,Silver,501,43.82
184,44,3,Bangalore,Platinum,1064,39.99
185,35,6,Bangalore,Silver,850,31.18
186,52,43,Bangalore,Gold,520,43.27
187,52,45,Chennai,Platinum,456,9.51
188,44,11,Chennai,Silver,506,32.42
189,61,8,Mumbai,Silver,638,10.2
190,32,29,Delhi,Silver,812,26.7
191,59,10,Hyderabad,Silver,420,25.86
192,22,34,Mumbai,Platinum,984,16.93
193,23,24,Hyderabad,Platinum,932,42.34
194,57,46,Hyderabad,Platinum,815,15.27
195,37,48,Mumbai,Platinum,697,29.84
196,22,17,Delhi,Silver,410,26.7
197,22,32,Hyderabad,Silver,969,24.42
198,48,11,Chennai,Silver,753,6.51
199,43,34,Chennai,Silver,1151,36.35
200,57,24,Mumbai,Gold,485,5.57
201,52,55,Hyderabad,Silver,1055,41.92
202,53,5,Mumbai,Gold,624,16.99
203,21,29,Chennai,Silver,593,10.4
204,39,48,Mumbai,Gold,502,23.77
205,22,48,Hyderabad,Silver,1073,30.17
206,64,58,Hyderabad,Gold,701,18.97
207,46,34,Chennai,Silver,447,10.48
208,52,16,Bangalore,Silver,1145,5.82
209,26,25,Bangalore,Silver,692,36.67
210,52,37,Delhi,Silver,421,44.89
211,24,8,Chennai,Silver,1046,9.52
212,31,29,Delhi,Silver,574,15.38
213,37,52,Chennai,Platinum,732,5.91
214,58,46,Hyderabad,Silver,1153,44.83
215,44,25,Chennai,Platinum,416,25.01
216,25,42,Mumbai,Gold,1170,46.63
217,54,23,Delhi,Gold,795,26.06
218,26,34,Chennai,Platinum,1109,43.8
219,42,3,Delhi,Gold,475,47.83
220,31,30,Chennai,Silver,602,20.08
221,36,50,Bangalore,Silver,632,33.83
222,53,53,Delhi,Platinum,1186,34.99
223,29,34,Hyderabad,Silver,1070,5.96
224,26,32,Hyderabad,Gold,514,24.72
225,36,53,Chennai,Platinum,1169,43.49
226,49,29,Hyderabad,Gold,1148,47.58
227,23,9,Hyderabad,Silver,495,45.46
228,40,2,Delhi,Silver,1039,48.78
229,56,57,Chennai,Silver,673,34.39
230,39,39,Delhi,Gold,1171,15.48
231,46,7,Chennai,Gold,775,30.89
232,23,46,Hyderabad,Gold,733,23.95
233,39,5,Chennai,Silver,989,16.64
234,40,8,Chennai,Silver,748,39.78
235,52,32,Mumbai,Platinum,898,33.31
236,27,55,Chennai,Silver,575,40.55
237,61,54,Mumbai,Silver,1038,17.13
238,53,18,Delhi,Silver,1109,45.67
239,60,38,Mumbai,Silver,762,15.74
240,59,46,Delhi,Platinum,1115,32.09
241,38,18,Chennai,Silver,444,7.56
242,60,49,Delhi,Gold,778,29.34
243,21,41,Hyderabad,Silver,829,9.44
244,31,45,Chennai,Gold,1075,19.95
245,48,16,Mumbai,Platinum,1009,43.73
246,45,21,Bangalore,Silver,706,45.21
247,43,10,Chennai,Silver,815,39.53
248,51,42,Hyderabad,Silver,642,21.55
249,50,4,Delhi,Gold,1054,31.04
250,62,44,Mumbai,Gold,536,15.08
251,55,59,Mumbai,Platinum,457,35.53
252,27,8,Hyderabad,Silver,1180,20.63
253,36,47,Hyderabad,Platinum,568,14.94
254,46,53,Chennai,Silver,1019,31.32
255,22,55,Bangalore,Silver,861,10.03
256,21,19,Bangalore,Gold,809,35.9
257,32,47,Delhi,Platinum,783,13.42
258,25,40,Mumbai,Silver,844,29.91
259,57,40,Chennai,Silver,955,22.66
260,52,51,Mumbai,Gold,872,30.48
261,29,9,Chennai,Platinum,997,16.07
262,61,30,Hyderabad,Platinum,1197,18.97
263,55,56,Delhi,Silver,988,11.31
264,39,17,Hyderabad,Gold,641,39.96
265,36,40,Mumbai,Silver,623,8.16
266,23,44,Delhi,Gold,1074,21.94
267,40,59,Chennai,Silver,521,25.21
268,44,15,Chennai,Silver,907,13.78
269,53,4,Delhi,Platinum,1088,22.32
270,44,6,Hyderabad,Gold,1098,23.81
271,31,16,Delhi,Silver,643,15.09
272,28,26,Hyderabad,Platinum,620,33.77
273,56,57,Delhi,Gold,534,6.39
274,58,37,Hyderabad,Silver,434,13.89
275,60,23,Bangalore,Gold,566,33.08
276,40,13,Delhi,Gold,661,33.24
277,55,47,Hyderabad,Silver,733,16.94
278,45,17,Mumbai,Platinum,1131,35.74
279,55,57,Mumbai,Gold,464,26.14
280,45,54,Delhi,Platinum,509,28.73
281,49,27,Delhi,Gold,810,19.97
282,38,52,Chennai,Gold,794,49.29
283,38,22,Hyderabad,Silver,408,38.18
284,22,37,Delhi,Gold,581,16.18
285,55,19,Mumbai,Gold,442,15.65
286,36,39,Mumbai,Silver,1031,39.84
287,61,35,Mumbai,Gold,705,22.46
288,56,13,Hyderabad,Silver,512,9.12
289,53,14,Bangalore,Platinum,718,6.6
290,24,48,Delhi,Platinum,832,23.63
291,53,31,Bangalore,Gold,1165,23.66
292,34,45,Hyderabad,Silver,630,36.81
293,41,2,Delhi,Gold,879,30.86
294,40,46,Chennai,Gold,814,39.66
295,28,52,Delhi,Platinum,535,19.3
296,27,39,Delhi,Silver,911,33.09
297,23,37,Delhi,Platinum,1079,44.86
298,37,14,Delhi,Silver,1090,8.12
299,53,9,Delhi,Platinum,814,36.88
300,32,10,Hyderabad,Platinum,1165,37.21
301,42,7,Delhi,Platinum,446,40.73
302,42,28,Hyderabad,Gold,541,17.11
303,50,46,Delhi,Gold,1192,23.74
304,58,25,Delhi,Platinum,484,15.79
305,58,46,Hyderabad,Gold,830,18.89
306,28,57,Delhi,Silver,492,48.58
307,47,28,Mumbai,Platinum,829,25.05
308,47,2,Delhi,Silver,828,43.18
309,54,17,Chennai,Gold,558,40.77
310,41,59,Hyderabad,Silver,963,25.0
311,50,52,Delhi,Silver,1171,49.65
312,53,4,Delhi,Gold,517,42.84
313,48,13,Hyderabad,Gold,957,26.72
314,53,18,Bangalore,Silver,556,18.94
315,25,3,Mumbai,Silver,832,8.39
316,39,51,Mumbai,Silver,592,25.92
317,24,37,Delhi,Platinum,1007,21.2
318,55,33,Hyderabad,Silver,656,37.01
319,37,41,Chennai,Platinum,867,5.89
320,64,24,Delhi,Silver,1098,42.42
321,48,8,Mumbai,Platinum,631,23.75
322,50,35,Delhi,Gold,1165,26.14
323,49,2,Hyderabad,Silver,820,13.23
324,26,33,Chennai,Silver,477,47.19
325,55,12,Bangalore,Platinum,777,22.93
326,61,22,Chennai,Platinum,1091,42.92
327,57,13,Delhi,Platinum,647,15.69
328,44,10,Mumbai,Gold,774,9.35
329,49,17,Hyderabad,Silver,1157,33.61
330,51,43,Delhi,Silver,911,49.3
331,55,5,Bangalore,Silver,1041,34.11
332,53,57,Hyderabad,Silver,420,32.39
333,41,59,Hyderabad,Gold,1196,24.9
334,52,9,Hyderabad,Gold,475,17.77
335,43,13,Delhi,Gold,737,24.39
336,53,52,Bangalore,Silver,821,11.7
337,23,23,Delhi,Silver,1071,16.79
338,38,30,Hyderabad,Silver,1080,26.93
339,45,43,Hyderabad,Platinum,1189,11.52
340,62,55,Mumbai,Platinum,883,40.62
341,51,4,Chennai,Silver,825,5.52
342,23,21,Delhi,Gold,539,19.47
343,60,43,Bangalore,Gold,712,28.25
344,44,9,Hyderabad,Gold,868,46.8
345,52,7,Delhi,Silver,919,30.81
346,42,16,Chennai,Gold,555,18.27
347,43,23,Delhi,Silver,580,20.85
348,22,58,Chennai,Gold,1125,20.26
349,47,23,Delhi,Silver,603,13.12
350,62,31,Mumbai,Gold,1152,11.52
351,22,57,Delhi,Gold,928,26.63
352,46,5,Mumbai,Platinum,676,17.16
353,37,6,Chennai,Silver,962,9.13
354,60,51,Hyderabad,Gold,1123,14.74
355,53,1,Hyderabad,Platinum,965,28.43
356,29,59,Delhi,Silver,824,16.56
357,63,48,Bangalore,Gold,955,15.7
358,59,28,Delhi,Silver,732,32.93
359,49,18,Mumbai,Platinum,1144,36.02
360,62,24,Mumbai,Silver,428,15.86
361,46,13,Chennai,Gold,1082,26.25
362,55,33,Delhi,Silver,460,39.41
363,45,10,Chennai,Silver,460,36.05
364,44,7,Bangalore,Gold,419,8.12
365,33,37,Hyderabad,Gold,455,21.2
366,27,32,Hyderabad,Gold,1087,37.55
367,56,45,Delhi,Silver,729,13.07
368,40,22,Chennai,Gold,1160,13.82
369,21,16,Chennai,Silver,603,33.36
370,28,24,Bangalore,Silver,839,17.77
371,36,52,Chennai,Platinum,583,19.57
372,34,54,Mumbai,Gold,445,28.53
373,32,14,Mumbai,Silver,840,38.78
374,43,11,Mumbai,Silver,444,27.42
375,35,19,Delhi,Silver,863,45.2
376,48,23,Mumbai,Platinum,953,9.8
377,54,34,Mumbai,Platinum,845,38.94
378,22,40,Hyderabad,Gold,407,29.46
379,52,13,Delhi,Platinum,413,41.75
380,43,39,Mumbai,Platinum,628,19.24
381,42,44,Bangalore,Platinum,1193,26.69
382,45,28,Mumbai,Platinum,501,42.06
383,42,40,Delhi,Platinum,900,42.43
384,42,16,Chennai,Silver,696,21.92
385,62,50,Hyderabad,Silver,1148,42.0
386,26,51,Hyderabad,Platinum,428,35.71
387,35,28,Delhi,Silver,1102,23.42
388,63,4,Mumbai,Silver,1180,48.64
389,57,28,Bangalore,Silver,753,6.39
390,53,57,Mumbai,Gold,873,22.22
391,28,12,Mumbai,Gold,842,18.81
392,64,16,Bangalore,Silver,702,47.11
393,64,53,Hyderabad,Gold,615,9.48
394,25,54,Mumbai,Platinum,1159,33.26
395,59,49,Chennai,Gold,1188,37.25
396,24,36,Chennai,Gold,750,13.29
397,26,20,Delhi,Silver,923,11.75
398,52,26,Delhi,Silver,1017,7.15
399,50,56,Bangalore,Gold,423,12.15
400,55,56,Bangalore,Platinum,1188,41.37
401,60,26,Delhi,Platinum,915,47.48
402,36,22,Mumbai,Gold,1192,45.56
403,33,56,Hyderabad,Silver,407,21.44
404,62,9,Chennai,Platinum,1075,37.66
405,50,5,Bangalore,Silver,513,42.22
406,39,17,Delhi,Silver,961,41.56
407,37,49,Chennai,Platinum,637,7.82
408,39,34,Bangalore,Platinum,1195,14.67
409,48,2,Bangalore,Platinum,461,47.25
410,46,53,Mumbai,Gold,526,38.3
411,57,55,Bangalore,Platinum,1132,42.55
412,46,7,Hyderabad,Silver,1113,28.14
413,43,36,Bangalore,Silver,699,22.69
414,29,13,Hyderabad,Platinum,559,34.31
415,32,20,Mumbai,Gold,919,26.28
416,21,30,Hyderabad,Silver,837,21.82
417,21,30,Chennai,Platinum,800,20.65
418,54,11,Bangalore,Platinum,1036,12.11
419,52,31,Delhi,Gold,1001,28.82
420,45,58,Delhi,Gold,643,28.39
421,60,3,Hyderabad,Platinum,594,31.58
422,21,59,Mumbai,Platinum,1017,10.23
423,36,2,Hyderabad,Platinum,858,46.17
424,59,48,Hyderabad,Gold,605,38.39
425,25,3,Hyderabad,Silver,470,10.89
426,42,56,Chennai,Gold,816,8.57
427,49,15,Chennai,Silver,827,33.93
428,23,17,Hyderabad,Silver,895,20.37
429,32,48,Mumbai,Silver,431,19.36
430,46,52,Bangalore,Silver,1077,42.8
431,36,7,Delhi,Silver,611,20.53
432,57,48,Chennai,Gold,921,33.45
433,42,5,Bangalore,Gold,862,29.17
434,49,34,Chennai,Silver,1109,16.83
435,34,33,Chennai,Gold,646,19.92
436,48,54,Chennai,Gold,1128,47.44
437,25,45,Hyderabad,Silver,528,19.91
438,50,16,Hyderabad,Gold,1109,40.28
439,25,37,Chennai,Gold,732,43.76
440,32,3,Chennai,Platinum,474,8.2
441,36,59,Delhi,Silver,489,34.84
442,46,59,Bangalore,Gold,1192,38.72
443,46,47,Bangalore,Gold,451,24.53
444,41,48,Mumbai,Gold,411,30.62
445,59,43,Mumbai,Platinum,445,12.28
446,56,57,Mumbai,Gold,1048,19.33
447,53,51,Hyderabad,Silver,691,36.85
448,50,50,Hyderabad,Gold,536,32.12
449,57,21,Delhi,Platinum,496,11.14
450,43,41,Hyderabad,Platinum,561,49.46
451,30,8,Mumbai,Platinum,487,47.2
452,25,22,Chennai,Silver,452,15.09
453,56,51,Mumbai,Gold,508,44.38
454,54,54,Delhi,Gold,444,17.02
455,51,5,Chennai,Silver,560,30.37
456,30,17,Hyderabad,Silver,684,40.19
457,39,37,Chennai,Platinum,993,20.48
458,52,14,Delhi,Gold,717,29.98
459,21,39,Hyderabad,Gold,1166,25.27
460,25,41,Bangalore,Gold,690,39.21
461,24,28,Mumbai,Silver,830,26.54
462,36,31,Mumbai,Platinum,1098,30.51
463,44,17,Delhi,Gold,785,43.05
464,36,35,Delhi,Gold,1000,36.44
465,22,40,Mumbai,Silver,936,28.74
466,48,22,Chennai,Gold,452,25.76
467,52,45,Bangalore,Silver,779,10.7
468,47,48,Bangalore,Silver,989,7.54
469,40,53,Delhi,Gold,513,47.87
470,44,29,Delhi,Silver,711,13.39
471,32,10,Chennai,Platinum,657,17.46
472,55,18,Delhi,Gold,544,32.49
473,53,35,Bangalore,Gold,1107,42.26
474,53,44,Mumbai,Silver,902,42.49
475,63,16,Bangalore,Silver,1013,42.33
476,57,50,Chennai,Gold,689,49.01
477,32,49,Mumbai,Platinum,751,7.51
478,23,7,Mumbai,Silver,1080,22.99
479,21,30,Bangalore,Gold,1006,46.11
480,53,19,Mumbai,Silver,1173,26.03
481,60,55,Mumbai,Platinum,661,44.21
482,30,23,Delhi,Gold,939,5.79
483,63,8,Mumbai,Silver,535,27.7
484,64,17,Chennai,Gold,1040,46.51
485,49,21,Mumbai,Platinum,735,16.76
486,33,26,Delhi,Gold,889,46.83
487,32,57,Hyderabad,Silver,673,5.38
488,51,28,Hyderabad,Silver,621,8.55
489,22,59,Chennai,Platinum,735,26.46
490,55,39,Chennai,Gold,522,9.79
491,43,33,Mumbai,Silver,1003,15.15
492,37,40,Mumbai,Silver,922,18.39
493,46,19,Hyderabad,Platinum,917,26.67
494,28,29,Hyderabad,Gold,1139,22.57
495,49,20,Bangalore,Silver,933,46.5
496,46,20,Hyderabad,Silver,614,44.87
497,30,10,Hyderabad,Platinum,814,38.66
498,46,12,Chennai,Gold,1195,34.67
499,54,56,Bangalore,Silver,802,14.2
500,61,33,Bangalore,Gold,1026,32.08
501,27,56,Mumbai,Gold,1125,11.62
502,24,25,Mumbai,Platinum,784,25.37
503,31,25,Bangalore,Silver,1052,25.77
504,49,53,Bangalore,Silver,1090,36.04
505,56,4,Mumbai,Silver,912,42.58
506,45,4,Chennai,Silver,940,19.42
507,41,9,Chennai,Silver,796,6.85
508,56,15,Chennai,Silver,684,7.11
509,30,56,Chennai,Silver,799,44.37
510,57,26,Mumbai,Platinum,504,26.88
511,29,15,Delhi,Platinum,1073,16.16
512,44,26,Hyderabad,Silver,902,6.45
513,55,28,Hyderabad,Gold,439,28.79
514,55,7,Hyderabad,Gold,748,11.17
515,56,32,Hyderabad,Silver,621,23.77
516,38,12,Mumbai,Silver,841,28.22
517,59,35,Delhi,Gold,963,15.31
518,52,52,Mumbai,Silver,463,13.95
519,44,32,Delhi,Gold,403,5.89
520,43,9,Mumbai,Gold,855,31.35
521,52,14,Bangalore,Silver,417,14.02
522,57,13,Delhi,Gold,741,44.52
523,32,56,Hyderabad,Silver,409,32.17
524,33,44,Delhi,Silver,1181,30.04
525,43,33,Chennai,Gold,773,27.71
526,45,32,Delhi,Platinum,765,14.69
527,55,19,Chennai,Silver,750,48.62
528,61,30,Chennai,Silver,498,48.52
529,50,16,Bangalore,Platinum,1105,19.46
530,37,12,Delhi,Platinum,818,39.93
531,40,10,Bangalore,Platinum,433,10.37
532,45,2,Hyderabad,Silver,748,40.12
533,42,18,Delhi,Silver,851,17.88
534,33,13,Mumbai,Platinum,976,18.01
535,39,29,Mumbai,Silver,1074,27.83
536,56,24,Mumbai,Silver,575,22.65
537,32,38,Chennai,Gold,446,10.3
538,61,12,Mumbai,Silver,617,31.69
539,39,29,Hyderabad,Silver,620,14.62
540,32,22,Delhi,Silver,410,25.0
541,29,36,Delhi,Platinum,589,15.4
542,27,1,Chennai,Gold,485,43.59
543,48,43,Chennai,Gold,944,20.21
544,34,55,Chennai,Gold,1006,44.94
545,51,40,Hyderabad,Gold,729,19.67
546,39,34,Delhi,Platinum,818,13.08
547,36,34,Bangalore,Silver,580,30.95
548,25,48,Chennai,Gold,683,29.98
549,55,33,Mumbai,Silver,934,32.85
550,32,4,Bangalore,Gold,448,18.6
551,45,38,Bangalore,Gold,1132,19.4
552,41,30,Chennai,Silver,401,15.68
553,56,53,Mumbai,Gold,988,46.78
554,43,52,Chennai,Gold,1022,35.73
555,36,46,Chennai,Silver,553,39.03
556,59,20,Mumbai,Silver,544,13.74
557,62,26,Bangalore,Silver,698,34.77
558,59,15,Bangalore,Gold,1008,39.32
559,34,7,Mumbai,Gold,714,20.41
560,51,7,Bangalore,Platinum,1125,12.1
561,25,50,Hyderabad,Silver,985,36.37
562,55,29,Chennai,Silver,937,32.5
563,43,23,Hyderabad,Gold,1133,30.9
564,49,34,Hyderabad,Gold,1114,13.22
565,63,20,Hyderabad,Gold,1189,16.81
566,31,15,Delhi,Silver,743,33.12
567,38,33,Delhi,Silver,428,32.61
568,32,53,Hyderabad,Platinum,514,29.96
569,29,17,Chennai,Silver,665,39.57
570,30,20,Hyderabad,Silver,881,41.66
571,64,57,Hyderabad,Silver,509,17.44
572,37,13,Delhi,Gold,1064,12.09
573,58,44,Hyderabad,Silver,804,14.05
574,27,24,Chennai,Silver,1029,17.66
575,33,54,Chennai,Silver,1034,47.65
576,60,47,Hyderabad,Silver,1116,11.17
577,62,56,Chennai,Platinum,1162,44.54
578,29,37,Hyderabad,Platinum,533,14.15
579,47,7,Delhi,Platinum,651,20.68
580,22,8,Hyderabad,Silver,912,10.66
581,25,23,Bangalore,Silver,904,9.65
582,49,14,Delhi,Silver,683,9.28
583,57,4,Chennai,Silver,1125,20.42
584,58,21,Chennai,Gold,523,28.57
585,39,46,Delhi,Platinum,596,14.04
586,28,10,Bangalore,Silver,801,46.97
587,21,22,Delhi,Silver,931,31.39
588,42,30,Mumbai,Silver,731,44.83
589,37,30,Bangalore,Platinum,868,11.7
590,27,16,Delhi,Gold,713,11.46
591,45,11,Mumbai,Platinum,1080,43.1
592,24,22,Hyderabad,Gold,1009,30.56
593,56,29,Bangalore,Gold,1057,47.24
594,26,25,Hyderabad,Silver,1073,11.61
595,51,58,Mumbai,Platinum,465,6.17
596,39,14,Chennai,Gold,644,46.25
597,64,14,Chennai,Gold,758,36.45
598,59,2,Chennai,Silver,720,41.32
599,47,54,Hyderabad,Silver,525,18.32
600,30,13,Bangalore,Silver,1131,5.14
601,46,3,Hyderabad,Silver,760,26.73
602,39,30,Hyderabad,Platinum,682,49.55
603,59,18,Chennai,Platinum,429,45.84
604,23,54,Hyderabad,Platinum,997,8.24
605,33,36,Mumbai,Gold,731,13.45
606,48,21,Delhi,Gold,1167,19.01
607,40,53,Delhi,Silver,784,42.37
608,48,19,Delhi,Silver,624,42.11
609,28,16,Chennai,Platinum,696,13.33
610,61,28,Chennai,Silver,639,28.99
611,59,4,Delhi,Gold,768,27.58
612,21,51,Bangalore,Gold,1168,23.64
613,23,55,Delhi,Gold,1044,29.12
614,33,15,Hyderabad,Platinum,1044,18.18
615,48,1,Delhi,Silver,470,28.92
616,45,48,Delhi,Platinum,681,35.85
617,53,47,Bangalore,Gold,704,7.81
618,58,16,Chennai,Platinum,1001,48.53
619,26,54,Chennai,Platinum,658,12.44
620,64,20,Hyderabad,Silver,566,21.21
621,52,33,Delhi,Silver,989,26.18
622,41,17,Mumbai,Platinum,1088,6.84
623,36,5,Hyderabad,Silver,669,29.68
624,41,5,Chennai,Silver,931,44.15
